cve_id,cwes,description,severity,exploitability,impact,published_date,last_modified_date
CVE-1999-0199,{'CWE-252'},"manual/search.texi in the GNU C Library (aka glibc) before 2.2 lacks a statement about the unspecified tdelete return value upon deletion of a tree's root, which might allow attackers to access a dangling pointer in an application whose developer was unaware of a documentation update from 1999.",HIGH,10.0,6.4,2020-10-06 13:15:00+00:00,2020-12-03 16:52:00+00:00
CVE-1999-0731,{'NVD-CWE-Other'},The KDE klock program allows local users to unlock a session using malformed input.,MEDIUM,3.9,6.4,1999-06-23 04:00:00+00:00,2021-01-20 01:15:00+00:00
CVE-2002-2443,{'CWE-20'},"schpw.c in the kpasswd service in kadmind in MIT Kerberos 5 (aka krb5) before 1.11.3 does not properly validate UDP packets before sending responses, which allows remote attackers to cause a denial of service (CPU and bandwidth consumption) via a forged packet that triggers a communication loop, as demonstrated by krb_pingpong.nasl, a related issue to CVE-1999-0103.",MEDIUM,10.0,2.9,2013-05-29 14:29:00+00:00,2021-02-02 18:44:00+00:00
CVE-2006-3635,{'CWE-119'},The ia64 subsystem in the Linux kernel before 2.6.26 allows local users to cause a denial of service (stack consumption and system crash) via a crafted application that leverages the mishandling of invalid Register Stack Engine (RSE) state.,MEDIUM,3.9,6.9,2017-08-07 03:29:00+00:00,2017-08-14 15:05:00+00:00
CVE-2006-4192,{'NVD-CWE-Other'},"Multiple buffer overflows in MODPlug Tracker (OpenMPT) 1.17.02.43 and earlier and libmodplug 0.8 and earlier, as used in GStreamer and possibly other products, allow user-assisted remote attackers to execute arbitrary code via (1) long strings in ITP files used by the CSoundFile::ReadITProject function in soundlib/Load_it.cpp and (2) crafted modules used by the CSoundFile::ReadSample function in soundlib/Sndfile.cpp, as demonstrated by crafted AMF files.",MEDIUM,4.9,6.4,2006-08-17 01:04:00+00:00,2018-10-17 21:33:00+00:00
CVE-2006-5331,{'CWE-19'},"The altivec_unavailable_exception function in arch/powerpc/kernel/traps.c in the Linux kernel before 2.6.19 on 64-bit systems mishandles the case where CONFIG_ALTIVEC is defined and the CPU actually supports Altivec, but the Altivec support was not detected by the kernel, which allows local users to cause a denial of service (panic) by triggering execution of an Altivec instruction.",MEDIUM,3.9,6.9,2017-10-29 06:29:00+00:00,2017-11-17 13:35:00+00:00
CVE-2007-3126,{'NVD-CWE-noinfo'},"Gimp before 2.8.22 allows context-dependent attackers to cause a denial of service (crash) via an ICO file with an InfoHeader containing a Height of zero, a similar issue to CVE-2007-2237.",MEDIUM,10.0,2.9,2007-06-08 00:30:00+00:00,2022-02-07 17:28:00+00:00
CVE-2007-5199,{'CWE-119'},A single byte overflow in catalogue.c in X.Org libXfont 1.3.1 allows remote attackers to have unspecified impact.,HIGH,10.0,6.4,2017-08-18 20:29:00+00:00,2020-07-30 12:46:00+00:00
CVE-2007-6761,{'CWE-119'},"drivers/media/video/videobuf-vmalloc.c in the Linux kernel before 2.6.24 does not initialize videobuf_mapping data structures, which allows local users to trigger an incorrect count value and videobuf leak via unspecified vectors, a different vulnerability than CVE-2010-5321.",MEDIUM,3.9,6.4,2017-04-24 06:59:00+00:00,2017-04-27 19:13:00+00:00
CVE-2007-6762,{'CWE-119'},"In the Linux kernel before 2.6.20, there is an off-by-one bug in net/netlabel/netlabel_cipso_v4.c where it is possible to overflow the doi_def->tags[] array.",HIGH,10.0,6.4,2019-07-27 22:15:00+00:00,2019-09-27 18:15:00+00:00
CVE-2008-5189,{'CWE-352'},CRLF injection vulnerability in Ruby on Rails before 2.0.5 allows remote attackers to inject arbitrary HTTP headers and conduct HTTP response splitting attacks via a crafted URL to the redirect_to function.,MEDIUM,10.0,2.9,2008-11-21 12:00:00+00:00,2019-08-08 14:43:00+00:00
CVE-2008-5619,{'CWE-94'},"html2text.php in Chuggnutt HTML to Text Converter, as used in PHPMailer before 5.2.10, RoundCube Webmail (roundcubemail) 0.2-1.alpha and 0.2-3.beta, Mahara, and AtMail Open 1.03, allows remote attackers to execute arbitrary code via crafted input that is processed by the preg_replace function with the eval switch.",HIGH,10.0,10.0,2008-12-17 02:30:00+00:00,2018-10-11 20:56:00+00:00
CVE-2008-7050,{'CWE-255'},"The password_check function in auth/auth_phpbb3.php in WoW Raid Manager 3.5.1 before Patch 1, when using PHPBB3 authentication, (1) does not invoke the CheckPassword function with the required arguments, which always triggers an authentication failure, and (2) returns true instead of false when an authentication failure occurs, which allows remote attackers to bypass authentication and gain privileges with an arbitrary password.",HIGH,10.0,6.4,2009-08-24 10:30:00+00:00,2009-08-24 10:30:00+00:00
CVE-2008-7316,{'CWE-20'},"mm/filemap.c in the Linux kernel before 2.6.25 allows local users to cause a denial of service (infinite loop) via a writev system call that triggers an iovec of zero length, followed by a page fault for an iovec of nonzero length.",LOW,3.9,2.9,2016-05-02 10:59:00+00:00,2016-05-06 00:54:00+00:00
CVE-2009-0217,{'NVD-CWE-Other'},"The design of the W3C XML Signature Syntax and Processing (XMLDsig) recommendation, as implemented in products including (1) the Oracle Security Developer Tools component in Oracle Application Server 10.1.2.3, 10.1.3.4, and 10.1.4.3IM; (2) the WebLogic Server component in BEA Product Suite 10.3, 10.0 MP1, 9.2 MP3, 9.1, 9.0, and 8.1 SP6; (3) Mono before 2.4.2.2; (4) XML Security Library before 1.2.12; (5) IBM WebSphere Application Server Versions 6.0 through 6.0.2.33, 6.1 through 6.1.0.23, and 7.0 through 7.0.0.1; (6) Sun JDK and JRE Update 14 and earlier; (7) Microsoft .NET Framework 3.0 through 3.0 SP2, 3.5, and 4.0; and other products uses a parameter that defines an HMAC truncation length (HMACOutputLength) but does not require a minimum for this length, which allows attackers to spoof HMAC-based signatures and bypass authentication by specifying a truncation length with a small number of bits.",MEDIUM,10.0,2.9,2009-07-14 23:30:00+00:00,2018-10-12 21:49:00+00:00
CVE-2009-0386,{'CWE-119'},Heap-based buffer overflow in the qtdemux_parse_samples function in gst/qtdemux/qtdemux.c in GStreamer Good Plug-ins (aka gst-plugins-good) 0.10.9 through 0.10.11 might allow remote attackers to execute arbitrary code via crafted Composition Time To Sample (ctts) atom data in a malformed QuickTime media .mov file.,HIGH,8.6,10.0,2009-02-02 19:30:00+00:00,2018-10-11 21:01:00+00:00
CVE-2009-0387,{'CWE-119'},"Array index error in the qtdemux_parse_samples function in gst/qtdemux/qtdemux.c in GStreamer Good Plug-ins (aka gst-plugins-good) 0.10.9 through 0.10.11 allows remote attackers to cause a denial of service (application crash) and possibly execute arbitrary code via crafted Sync Sample (aka stss) atom data in a malformed QuickTime media .mov file, related to \mark keyframes.\""""",HIGH,8.6,10.0,2009-02-02 19:30:00+00:00,2018-10-11 21:01:00+00:00
